transaction_id,reference_number,transaction_timestamp,transaction_date,transaction_month,transaction_type,transaction_status,channel,amount,balance_after_transaction,description,completed_flag,failed_flag,completed_amount,customer_id,customer_name,customer_city,customer_state,account_id,account_number,account_type,account_status,merchant_id,merchant_name,merchant_category,merchant_city,merchant_state
3,TXN202601003,2026-01-12 08:10:00-06,2026-01-12,2026-01-01,purchase,completed,online,899.99,4279.56,Laptop purchase,1,0,899.99,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,2,TechZone Electronics,electronics,Austin,Texas
37,TXN202601037,2026-01-15 01:00:00-06,2026-01-15,2026-01-01,purchase,completed,online,1200.00,-1200.00,Airline ticket,1,0,1200.00,8,Lucas Wilson,Phoenix,Arizona,11,CRD100008,credit,frozen,9,SkyJet Airlines,travel,Atlanta,Georgia
13,TXN202601013,2026-01-15 03:05:00-06,2026-01-15,2026-01-01,deposit,completed,branch,2500.00,3000.00,Payroll deposit,1,0,2500.00,3,Sofia Martinez,Houston,Texas,4,CHK100003,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
44,TXN202601044,2026-01-15 12:05:00-06,2026-01-15,2026-01-01,purchase,completed,pos,140.00,3060.00,Grocery purchase,1,0,140.00,10,Arjun Reddy,Denton,Texas,14,CHK100010,checking,active,1,FreshMart Grocery,groceries,Dallas,Texas
14,TXN202601014,2026-01-18 14:20:00-06,2026-01-18,2026-01-01,purchase,completed,pos,45.60,2954.40,Dinner purchase,1,0,45.60,3,Sofia Martinez,Houston,Texas,4,CHK100003,checking,active,3,Green Leaf Cafe,dining,Houston,Texas
29,TXN202601029,2026-01-20 07:15:00-06,2026-01-20,2026-01-01,purchase,completed,pos,149.35,2050.65,Pharmacy purchase,1,0,149.35,6,Liam Brown,Chicago,Illinois,8,CHK100006,checking,active,7,City Pharmacy,healthcare,Chicago,Illinois
18,TXN202601018,2026-01-20 08:35:00-06,2026-01-20,2026-01-01,purchase,completed,online,500.00,-500.00,Electronics purchase,1,0,500.00,3,Sofia Martinez,Houston,Texas,5,CRD100003,credit,active,2,TechZone Electronics,electronics,Austin,Texas
4,TXN202601004,2026-01-25 05:45:00-06,2026-01-25,2026-01-01,refund,completed,online,200.00,4479.56,Partial laptop refund,1,0,200.00,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,2,TechZone Electronics,electronics,Austin,Texas
41,TXN202601041,2026-01-28 05:00:00-06,2026-01-28,2026-01-01,withdrawal,completed,branch,500.00,0.00,Account closing withdrawal,1,0,500.00,8,Lucas Wilson,Phoenix,Arizona,12,CHK100008,checking,closed,,No merchant,Not applicable,Not applicable,Not applicable
34,TXN202601034,2026-01-30 00:45:00-06,2026-01-30,2026-01-01,purchase,completed,online,400.00,4100.00,Airline ticket,1,0,400.00,7,Emma Davis,Boston,Massachusetts,10,CHK100007,checking,active,9,SkyJet Airlines,travel,Atlanta,Georgia
7,TXN202602007,2026-02-01 04:00:00-06,2026-02-01,2026-02-01,deposit,completed,mobile,1000.00,14500.00,Monthly savings deposit,1,0,1000.00,1,Maya Patel,Dallas,Texas,2,SAV100001,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
5,TXN202602005,2026-02-03 07:20:00-06,2026-02-03,2026-02-01,purchase,completed,pos,28.81,4450.75,Lunch purchase,1,0,28.81,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,3,Green Leaf Cafe,dining,Houston,Texas
22,TXN202602022,2026-02-06 03:00:00-06,2026-02-06,2026-02-01,deposit,completed,mobile,1500.00,23500.00,Savings deposit,1,0,1500.00,4,Noah Johnson,Denver,Colorado,6,SAV100004,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
15,TXN202602015,2026-02-07 09:10:00-06,2026-02-07,2026-02-01,purchase,completed,pos,134.00,2820.40,Grocery purchase,1,0,134.00,3,Sofia Martinez,Houston,Texas,4,CHK100003,checking,active,1,FreshMart Grocery,groceries,Dallas,Texas
25,TXN202602025,2026-02-10 02:00:00-06,2026-02-10,2026-02-01,purchase,completed,online,99.85,5400.15,Gym membership,1,0,99.85,5,Ava Thompson,Seattle,Washington,7,CHK100005,checking,active,6,FitLife Gym,fitness,Seattle,Washington
19,TXN202602019,2026-02-11 10:50:00-06,2026-02-11,2026-02-01,purchase,completed,pos,170.30,-670.30,Clothing purchase,1,0,170.30,3,Sofia Martinez,Houston,Texas,5,CRD100003,credit,active,10,StyleHub,clothing,Phoenix,Arizona
45,TXN202602045,2026-02-12 13:30:00-06,2026-02-12,2026-02-01,purchase,completed,pos,60.00,3000.00,Restaurant purchase,1,0,60.00,10,Arjun Reddy,Denton,Texas,14,CHK100010,checking,active,11,QuickBite Restaurant,dining,Denton,Texas
30,TXN202602030,2026-02-15 13:40:00-06,2026-02-15,2026-02-01,purchase,completed,online,50.00,2000.65,Book purchase,1,0,50.00,6,Liam Brown,Chicago,Illinois,8,CHK100006,checking,active,8,Book Haven,books,Boston,Massachusetts
38,TXN202602038,2026-02-17 10:10:00-06,2026-02-17,2026-02-01,purchase,completed,online,250.75,-1450.75,Clothing purchase,1,0,250.75,8,Lucas Wilson,Phoenix,Arizona,11,CRD100008,credit,frozen,10,StyleHub,clothing,Phoenix,Arizona
11,TXN202602011,2026-02-20 13:15:00-06,2026-02-20,2026-02-01,purchase,completed,pos,64.55,3440.25,Fuel purchase,1,0,64.55,2,Ethan Williams,Austin,Texas,3,CHK100002,checking,active,4,Metro Fuel,fuel,Denver,Colorado
35,TXN202602035,2026-02-28 14:00:00-06,2026-02-28,2026-02-01,purchase,completed,online,25.00,4075.00,Monthly streaming subscription,1,0,25.00,7,Emma Davis,Boston,Massachusetts,10,CHK100007,checking,active,5,StreamFlix,entertainment,Los Angeles,California
42,TXN202603042,2026-03-01 03:45:00-06,2026-03-01,2026-03-01,deposit,completed,mobile,1000.00,7200.00,Savings deposit,1,0,1000.00,9,Olivia Anderson,Atlanta,Georgia,13,SAV100009,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
31,TXN202603031,2026-03-01 04:20:00-06,2026-03-01,2026-03-01,withdrawal,completed,atm,150.00,1850.65,ATM cash withdrawal,1,0,150.00,6,Liam Brown,Chicago,Illinois,8,CHK100006,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
16,TXN202603016,2026-03-02 12:45:00-06,2026-03-02,2026-03-01,purchase,completed,mobile,80.00,2740.40,Transportation expense,1,0,80.00,3,Sofia Martinez,Houston,Texas,4,CHK100003,checking,active,13,RideNow Transport,transportation,San Francisco,California
20,TXN202603020,2026-03-05 05:25:00-06,2026-03-05,2026-03-01,refund,completed,pos,50.00,-620.30,Clothing return,1,0,50.00,3,Sofia Martinez,Houston,Texas,5,CRD100003,credit,active,10,StyleHub,clothing,Phoenix,Arizona
12,TXN202603012,2026-03-10 07:30:00-05,2026-03-10,2026-03-01,withdrawal,completed,atm,260.00,3180.25,ATM cash withdrawal,1,0,260.00,2,Ethan Williams,Austin,Texas,3,CHK100002,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
26,TXN202603026,2026-03-10 12:25:00-05,2026-03-10,2026-03-01,purchase,completed,pos,200.00,5200.15,Grocery purchase,1,0,200.00,5,Ava Thompson,Seattle,Washington,7,CHK100005,checking,active,1,FreshMart Grocery,groceries,Dallas,Texas
46,TXN202603046,2026-03-12 07:00:00-05,2026-03-12,2026-03-01,withdrawal,completed,atm,200.00,2800.00,ATM cash withdrawal,1,0,200.00,10,Arjun Reddy,Denton,Texas,14,CHK100010,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
17,TXN202603017,2026-03-15 02:30:00-05,2026-03-15,2026-03-01,purchase,reversed,online,320.00,2740.40,Reversed airline booking,0,0,0,3,Sofia Martinez,Houston,Texas,4,CHK100003,checking,active,9,SkyJet Airlines,travel,Atlanta,Georgia
39,TXN202603039,2026-03-20 09:20:00-05,2026-03-20,2026-03-01,purchase,declined,online,999.00,,Declined electronics purchase,0,0,0,8,Lucas Wilson,Phoenix,Arizona,11,CRD100008,credit,frozen,2,TechZone Electronics,electronics,Austin,Texas
32,TXN202604032,2026-04-01 04:30:00-05,2026-04-01,2026-04-01,deposit,completed,mobile,900.00,8900.00,Monthly savings deposit,1,0,900.00,6,Liam Brown,Chicago,Illinois,9,SAV100006,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
8,TXN202604008,2026-04-01 05:00:00-05,2026-04-01,2026-04-01,deposit,completed,online,700.00,15200.00,Additional savings deposit,1,0,700.00,1,Maya Patel,Dallas,Texas,2,SAV100001,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
48,TXN202604048,2026-04-02 04:20:00-05,2026-04-02,2026-04-01,deposit,completed,mobile,300.00,10300.00,Monthly savings deposit,1,0,300.00,10,Arjun Reddy,Denton,Texas,15,SAV100010,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
36,TXN202604036,2026-04-05 13:35:00-05,2026-04-05,2026-04-01,purchase,completed,pos,100.00,3975.00,Restaurant purchase,1,0,100.00,7,Emma Davis,Boston,Massachusetts,10,CHK100007,checking,active,11,QuickBite Restaurant,dining,Denton,Texas
23,TXN202604023,2026-04-06 08:10:00-05,2026-04-06,2026-04-01,withdrawal,completed,atm,50.00,23450.00,ATM withdrawal,1,0,50.00,4,Noah Johnson,Denver,Colorado,6,SAV100004,savings,active,,No merchant,Not applicable,Not applicable,Not applicable
27,TXN202604027,2026-04-10 10:00:00-05,2026-04-10,2026-04-01,transfer,completed,mobile,100.00,5100.15,Transfer to another account,1,0,100.00,5,Ava Thompson,Seattle,Washington,7,CHK100005,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
6,TXN202604006,2026-04-10 11:00:00-05,2026-04-10,2026-04-01,transfer,completed,mobile,200.00,4250.75,Transfer to savings,1,0,200.00,1,Maya Patel,Dallas,Texas,1,CHK100001,checking,active,,No merchant,Not applicable,Not applicable,Not applicable
47,TXN202604047,2026-04-15 05:10:00-05,2026-04-15,2026-04-01,purchase,pending,online,19.99,,Pending software subscription,0,0,0,10,Arjun Reddy,Denton,Texas,14,CHK100010,checking,active,14,CloudSoft Services,software,Austin,Texas
